canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
145,001529.npy,10.1498,26.4448,-16.2951,0.0208,0.5451,-0.5243,0.188649,0.00097654,0.06950197,0.00326343,0.00848738,Severe Detail Loss,0.284425
146,001534.npy,12.7753,25.4353,-12.66,0.0307,0.6265,-0.5958,0.053626,0.00115815,0.19855982,0.00218589,0.01511364,Severe Detail Loss,0.206569
147,001570.npy,14.0314,26.7592,-12.7278,0.0192,0.5554,-0.5362,0.060309,0.00115618,0.07352458,0.00192571,0.0203293,Severe Detail Loss,0.178973
148,001579.npy,18.9313,32.0047,-13.0734,0.1626,0.8036,-0.641,0.145634,0.00087051,0.06145509,0.00131263,0.00270395,Severe Detail Loss,0.079827
149,001585.npy,6.957,21.8468,-14.8898,0.0134,0.673,-0.6596,0.052605,0.00101509,0.43003839,0.00551893,0.04733714,Severe Detail Loss,0.388466
150,001589.npy,7.0761,20.7985,-13.7224,0.0115,0.6027,-0.5913,0.040582,0.00108616,0.64383578,0.00507823,0.04837601,Severe Detail Loss,0.37713
151,001597.npy,3.042,21.3142,-18.2722,0.0138,0.3195,-0.3057,0.252029,0.00099746,0.19772133,0.01308398,0.02460825,Severe Detail Loss,0.640403
152,001603.npy,11.2377,24.2138,-12.9762,0.0112,0.6845,-0.6733,0.059044,0.00112013,0.23649836,0.00266282,0.01688487,Severe Detail Loss,0.253228
153,001631.npy,8.2079,24.5435,-16.3356,0.0152,0.7127,-0.6974,0.152911,0.00093923,0.24224892,0.00435581,0.00992291,Severe Detail Loss,0.344229
154,001634.npy,5.909,22.8258,-16.9169,0.0156,0.3363,-0.3207,0.216693,0.00082678,0.1065385,0.00738148,0.02057659,Severe Detail Loss,0.468356
